Column1,0,1,2,3,4,Cluster
121,3.4,16.0272,-96.9675,32.1,561171.0,17
122,3.8,15.3552,-93.1283,59.4,562331.0,9
123,3.5,15.9295,-96.9795,24.2,565671.0,20
124,3.4,15.9142,-96.9868,9.2,566702.0,22
125,3.3,15.8565,-96.9933,6.7,566826.0,27
126,3.8,17.3117,-94.8717,129.5,568377.0,17
127,3.9,15.7755,-95.697,31.4,572632.0,23
128,4.1,15.6297,-93.501,93.6,574194.0,26
129,3.4,15.845,-97.1733,15.7,579023.0,32
130,3.7,15.9188,-95.9837,65.2,581719.0,18
131,3.6,16.7935,-93.8643,163.7,582437.0,6
132,3.5,17.143,-95.3595,63.2,583893.0,31
133,8.2,14.761,-94.103,45.9,598981.0,29
134,4.1,15.477,-94.8713,30.9,599723.0,25
135,4.7,15.5257,-94.8128,26.8,600685.0,21
136,4.3,15.8773,-94.7755,48.9,600884.0,15
137,4.2,15.3785,-94.7035,10.1,601101.0,26
138,3.1,15.8047,-94.9717,71.3,601360.0,8
139,3.9,15.6135,-94.8827,31.7,601378.0,25
140,3.3,16.658,-93.99700000000001,97.7,601522.0,33
141,4.6,15.3865,-94.6122,3.9,601640.0,34
142,3.9,15.3262,-94.7288,12.5,601843.0,24
143,4.4,15.537,-94.8537,16.1,602292.0,2
144,4.1,15.8073,-94.9573,69.9,602564.0,26
145,4.0,15.6698,-94.6578,17.0,602651.0,13
146,4.0,15.1798,-94.4933,20.0,603045.0,21
147,3.9,15.7132,-94.9247,16.5,603197.0,28
148,3.8,15.3607,-94.6987,16.3,603382.0,11
149,3.9,15.3957,-94.6867,16.2,603534.0,9
150,3.8,15.3212,-94.6443,16.1,603600.0,2
151,3.7,15.4742,-94.7285,16.1,603664.0,2
152,3.8,15.3575,-94.7942,20.0,603751.0,21
153,3.6,15.6202,-94.8878,68.5,603929.0,23
154,4.1,14.9977,-94.2835,17.4,604015.0,11
155,3.5,15.1348,-94.5113,16.5,604088.0,28
156,3.8,15.3895,-94.7095,16.2,604151.0,9
157,3.9,15.972000000000001,-95.2953,58.6,604286.0,34
158,3.6,15.6197,-95.1565,63.0,604387.0,16
159,3.9,15.0148,-94.4663,30.0,604576.0,19
160,3.5,15.1915,-94.4263,50.0,604719.0,18
161,4.9,15.4098,-94.7075,13.3,604802.0,25
162,3.7,15.5125,-94.8383,25.4,605743.0,15
163,3.7,15.4853,-94.791,13.1,605881.0,14
164,3.6,14.8635,-94.2627,16.2,606294.0,9
165,3.7,16.9258,-95.5665,177.4,606329.0,19
166,3.5,15.8252,-95.0838,55.6,606509.0,27
167,3.8,15.6712,-94.9215,56.8,606583.0,8
168,3.9,16.4107,-95.0408,109.3,606754.0,29
169,4.2,15.3095,-94.7477,10.7,607036.0,10
170,3.6,15.3273,-94.6898,13.7,607466.0,26
171,3.8,15.7173,-94.9067,62.8,607797.0,20
172,4.0,14.8657,-94.3373,62.3,607902.0,29
173,3.9,15.1352,-94.7708,16.2,607953.0,9
174,4.0,15.4512,-94.85,26.8,608057.0,21
175,3.9,15.7163,-95.0073,16.4,608093.0,8
176,4.1,15.8517,-95.0122,85.0,608662.0,17
177,4.0,15.2883,-94.7178,19.3,609140.0,32
178,3.8,15.5472,-94.8418,15.0,609239.0,19
179,3.8,15.8698,-94.9922,79.1,609316.0,31
180,3.7,16.0268,-95.1257,94.5,609431.0,34
181,3.8,15.1432,-94.535,49.4,609497.0,28
